
05-29 11:22 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 12:15 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 12:19 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 13:38 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 13:38 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 13:39 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 13:40 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 13:42 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 13:43 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 13:44 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 18:38 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 20:19 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-09 20:20 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-10 12:36 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-10 12:38 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-10 12:39 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-10 12:41 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 17:07 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 18:25 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 19:48 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 19:48 :> dabolink used a banned word: dick
07-13 19:51 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 19:51 :> dabolink used a banned word: dick
07-13 19:56 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 20:01 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 20:58 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 20:59 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 20:59 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:00 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:01 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:02 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:05 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:05 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:10 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:11 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:11 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:12 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:12 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:13 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:13 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:14 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:15 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:16 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:21 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:24 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:24 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:33 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:35 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:36 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-13 21:36 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-14 12:31 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
07-14 12:32 :> [u'haladslader', u'raverfx', u'thepretenderr', u'jrkyex', u'kkkradical']
